Unnamed: 0,Species,Human Host,Accessions,viral_family
5,Rhinovirus B,True,FJ445188.1,2
11,Chikungunya virus,True,HM045787.1,21
12,Irkut lyssavirus,True,NC_020809.1,0
15,Ndumu virus,False,NC_016959.1,21
16,Bokeloh bat lyssavirus,True,NC_025251.1,0
17,Australian bat lyssavirus,True,NC_003243.1,0
18,Khujand lyssavirus,True,NC_025385.1,0
20,Rabies lyssavirus,True,KF155002.1,0
25,Mayaro virus,True,NC_003417.1,21
26,Lagos bat lyssavirus,True,NC_020807.1,0
27,Mokola lyssavirus,True,NC_006429.1,0
30,Aura virus,False,NC_003900.1,21
34,Aravan lyssavirus,True,NC_020808.1,0
36,Nyando orthobunyavirus,True,NC_034492.1  NC_034491.1  NC_034481.1,4
37,Fort Morgan virus,False,NC_013528.1,21
41,Bujaru phlebovirus,False,NC_033830.1  NC_033847.1  NC_033831.1,12
42,European bat 2 lyssavirus,True,NC_009528.2,0
49,Getah virus,True,NC_006558.1,21
52,Mosso das Pedras virus,True,AF075257.1,21
54,Capim orthobunyavirus,False,NC_034482.1  NC_034493.1  NC_034483.1,4
56,Venezuelan equine encephalitis virus,True,KC344449.1,21
57,Ross River virus,True,GQ433354.1,21
63,Onyong-nyong virus,True,NC_001512.1,21
64,Simbu orthobunyavirus,False,NC_018476.1  NC_018478.1  NC_018477.1,4
65,Bebaru virus,True,NC_016962.1,21
68,Pixuna virus,True,AF075256.1,21
71,Enterovirus J,False,NC_013695.1,2
72,Shuni orthobunyavirus,True,NC_018465.1  NC_018459.1  NC_018460.1,4
73,Middelburg virus,False,NC_024887.1,21
75,European bat 1 lyssavirus,True,NC_009527.1,0
77,Southern elephant seal virus,False,NC_016960.1,21
78,Duvenhage lyssavirus,True,NC_020810.1,0
79,Cupixi mammarenavirus,False,NC_010252.1  NC_010254.1,15
80,Semliki Forest virus,True,NC_003215.1,21
82,Highlands J virus,False,NC_012561.1,21
83,Enterovirus C,True,KJ170575.1,2
84,Rio Negro virus,False,AF075258.1,21
86,Mamastrovirus 6,True,NC_011400.1,24
87,Rhinovirus C,True,NC_009996.1,2
88,Everglades virus,True,AF075251.1,21
91,Tellina virus,False,NC_038869.1  NC_038870.1,30
95,Madariaga virus,True,NC_023812.1,21
104,Morreton vesiculovirus,False,NC_034508.1,0
107,Frijoles phlebovirus,False,KX611391.1  KX611392.1  KX611393.1,12
109,Wyeomyia orthobunyavirus,True,NC_034212.1  NC_034213.1  NC_034211.1,4
110,Machupo mammarenavirus,True,NC_005079.1  NC_005078.1,15
112,Catu orthobunyavirus,True,KP792660.1  KP792659.1  KP792658.1,4
113,Mopeia mammarenavirus,False,NC_006574.1  NC_006575.1,15
114,Bimiti orthobunyavirus,False,KP792657.1  KP792656.1  KP792655.1,4
115,Caraparu orthobunyavirus,True,NC_034489.1  NC_034477.1  NC_034478.1,4
117,Salehabad phlebovirus,False,NC_029127.1  NC_029128.1  NC_029129.1,12
119,Cabassou virus,False,AF075259.1,21
121,Cosavirus F,True,NC_034385.1,2
122,Tonate virus,True,AF075254.1,21
123,Influenza A virus,True,CY216614.1  CY216615.1  CY216616.1  CY216617.1  CY216618.1  CY216619.1  CY216620.1  CY216621.1,28
125,Piscihepevirus A,False,NC_015521.1,32
127,Infectious pancreatic necrosis virus,False,NC_001915.1  NC_001916.1,30
129,Bwamba orthobunyavirus,True,NC_034479.1  NC_034490.1  NC_034480.1,4
130,Isfahan vesiculovirus,True,NC_020806.1,0
131,West Caucasian bat lyssavirus,True,NC_025377.1,0
132,Oropouche orthobunyavirus,True,NC_005776.1  NC_005775.1  NC_005777.1,4
133,Salmon pancreas disease virus,False,NC_003930.1,21
134,Human polyomavirus 1,True,NC_001538.1,3
135,Mamastrovirus 1,True,NC_030922.1,24
137,Cosavirus A,True,NC_012800.1,2
139,Influenza B virus,True,MH245265.1  MH245264.1  MH245263.1  MH245262.1  MH245261.1  MH245260.1  MH245259.1  MH245258.1,28
140,Ungulate bocaparvovirus 1,False,NC_001540.1,17
145,Simian orthorubulavirus,False,NC_006428.1,10
146,Candiru phlebovirus,True,NC_015374.1  NC_015373.1  NC_015375.1,12
147,Ippy mammarenavirus,False,NC_007906.1  NC_007905.1,15
149,Enterovirus H,False,NC_003988.1,2
150,Huaiyangshan banyangvirus,True,NC_018136.1  NC_018138.1  NC_018137.1,12
151,Tremovirus A,False,NC_003990.1,2
153,Akabane orthobunyavirus,False,NC_009894.1  NC_009895.1  NC_009896.1,4
155,Sandfly fever Naples phlebovirus,True,NC_006319.1  NC_006320.1  NC_006318.1,12
157,Shimoni bat lyssavirus,True,NC_025365.1,0
158,Argentinian mammarenavirus,True,NC_005080.1  NC_005081.1,15
159,Enterovirus B,True,AB426609.1,2
160,Carnivore amdoparvovirus 1,False,MF285607.1,17
161,Enterovirus D,True,NC_001430.1,2
162,Klamath tupavirus,False,NC_034549.1,0
163,Punta Toro phlebovirus,True,NC_027203.1  NC_027201.1  NC_027202.1,12
164,Mamastrovirus 3,False,NC_025379.1,24
165,Sapelovirus A,False,NC_003987.1,2
167,Guama orthobunyavirus,True,KP792666.1  KP792665.1  KP792664.1,4
169,Piry vesiculovirus,True,KU178986.1,0
172,Anopheles A orthobunyavirus,True,KY793537.1  KY793538.1  KY793539.1,4
173,California encephalitis orthobunyavirus,True,NC_004108.1  NC_004109.1  NC_004110.1,4
175,Sindbis virus,True,KF981618.1,21
176,Alagoas vesiculovirus,True,NC_025353.1,0
179,Torchivirus A,False,NC_025890.1,2
180,Bos taurus polyomavirus 1,False,NC_001442.1,3
181,Bertioga orthobunyavirus,False,KY013487.1  KY013488.1  KY013489.1,4
182,Ikoma lyssavirus,True,NC_018629.1,0
183,Thogoto thogotovirus,True,NC_006508.1  NC_006495.1  NC_006496.1  NC_006506.1  NC_006507.1  NC_006504.1,28
184,Sosuga pararubulavirus,True,NC_025343.1,10
186,Eastern equine encephalitis virus,True,NC_003899.1,21
187,Batama orthobunyavirus,False,NC_038722.1,4
188,Rotterdam reptarenavirus,False,NC_018484.1  NC_018481.1,15
191,Tamdy orthonairovirus,False,NC_031284.1  NC_031285.1  NC_031286.1,25
192,Parechovirus A,True,NC_001897.1,2
193,Tacaribe mammarenavirus,True,NC_004292.1  NC_004293.1,15
194,White bream virus,False,NC_008516.1,29
195,Avian metaavulavirus 5,False,NC_025361.1,10
197,Thimiri orthobunyavirus,False,MH484336.1  MH484337.1  MH484338.1,4
200,Phocine morbillivirus,False,NC_028249.1,10
