Unnamed: 0,Species,Human Host,Accessions,viral_family
147,Ippy mammarenavirus,False,NC_007906.1  NC_007905.1,15
148,Rotavirus F,False,NC_021625.1  NC_021626.1  NC_021631.1  NC_021630.1  NC_021632.1  NC_021635.1  NC_021633.1  NC_021628.1  NC_021627.1  NC_021629.1  NC_021634.1,18
152,Gammapapillomavirus 5,True,NC_010329.1,1
154,Human immunodeficiency virus 2,True,NC_001722.1,16
157,Shimoni bat lyssavirus,True,NC_025365.1,0
158,Argentinian mammarenavirus,True,NC_005080.1  NC_005081.1,15
162,Klamath tupavirus,False,NC_034549.1,0
164,Mamastrovirus 3,False,NC_025379.1,24
166,Walleye dermal sarcoma virus,False,NC_001867.1,16
168,Rotavirus G,False,NC_021590.1  NC_021580.1  NC_021581.1  NC_021589.1  NC_021583.1  NC_021588.1  NC_021585.1  NC_021584.1  NC_021582.1  NC_021586.1  NC_021587.1,18
169,Piry vesiculovirus,True,KU178986.1,0
174,Human betaherpesvirus 5,True,NC_006273.2,7
176,Alagoas vesiculovirus,True,NC_025353.1,0
178,Puumala orthohantavirus,True,NC_005225.1  NC_005223.1  NC_005224.1,19
182,Ikoma lyssavirus,True,NC_018629.1,0
183,Thogoto thogotovirus,True,NC_006508.1  NC_006495.1  NC_006496.1  NC_006506.1  NC_006507.1  NC_006504.1,28
184,Sosuga pararubulavirus,True,NC_025343.1,10
185,Human metapneumovirus,True,NC_004148.2,34
188,Rotterdam reptarenavirus,False,NC_018484.1  NC_018481.1,15
191,Tamdy orthonairovirus,False,NC_031284.1  NC_031285.1  NC_031286.1,25
193,Tacaribe mammarenavirus,True,NC_004292.1  NC_004293.1,15
194,White bream virus,False,NC_008516.1,29
195,Avian metaavulavirus 5,False,NC_025361.1,10
198,Avian metapneumovirus,False,NC_007652.1,34
200,Phocine morbillivirus,False,NC_028249.1,10
201,Andes orthohantavirus,True,NC_003468.2  NC_003467.2  NC_003466.1,19
206,Western chimpanzee simian foamy virus,True,NC_001364.1,16
207,Fusong orthohantavirus,False,NC_038447.1  NC_038446.1,19
208,Betacoronavirus 1,True,NC_006213.1,13
209,Rinderpest morbillivirus,False,NC_006296.2,10
210,Influenza C virus,True,KM504277.1  KM504278.1  KM504279.1  KM504280.1  KM504281.1  KM504282.1  KM504283.1,28
211,Panine betaherpesvirus 2,False,NC_003521.1,7
212,Alphapapillomavirus 12,False,NC_001678.1,1
215,Human gammaherpesvirus 4,True,NC_007605.1,7
219,Sakhalin orthonairovirus,False,KU925494.1  KU925495.1  KU925496.1,25
222,Macacine gammaherpesvirus 5,False,NC_003401.1,7
223,Quezon mobatvirus,False,NC_034401.1  NC_034393.1  NC_034400.1,19
224,Bovine leukemia virus,False,NC_001414.1,16
226,Maporal orthohantavirus,False,NC_034553.1  NC_034552.1  NC_034566.1,19
228,Cercopithecine betaherpesvirus 5,False,NC_012783.2,7
230,Anguillid perhabdovirus,False,NC_022581.1,0
232,Bayou orthohantavirus,True,NC_038299.1  NC_038300.1  NC_038298.1,19
237,Ghanaian bat henipavirus,False,NC_025256.1,10
239,Alphacoronavirus 1,False,NC_002306.3,13
240,Rhesus macaque simian foamy virus,True,NC_010819.1,16
241,Pipapillomavirus 1,False,NC_022647.1,1
242,Sin Nombre orthohantavirus,True,NC_005217.1  NC_005215.1  NC_005216.1,19
243,Human coronavirus HKU1,True,NC_006577.2,13
246,Avastrovirus 3,False,NC_005790.1,24
247,Porcine orthorubulavirus,False,NC_009640.1,10
248,Mamastrovirus 8,True,GQ415660.1,24
250,Vesicular exanthema of swine virus,True,NC_002551.1,26
251,Drosophila immigrans sigmavirus,False,NC_038280.1,0
256,Human respirovirus 1,True,NC_003461.1,10
259,Tupaiid betaherpesvirus 1,False,NC_002794.1,7
261,Equine foamy virus,False,NC_002201.1,16
262,Yunnan orbivirus,False,NC_007656.1  NC_007657.1  NC_007658.1  NC_007659.1  NC_007660.1  NC_007661.1  NC_007662.1  NC_007663.1  NC_007664.1  NC_007665.1,18
263,Grivet simian foamy virus,True,NC_010820.1,16
264,Thailand orthohantavirus,False,NC_034556.1  NC_034563.1  NC_034555.1,19
265,Xipapillomavirus 1,False,NC_004197.1,1
266,Latino mammarenavirus,False,NC_010760.1  NC_010758.1,15
268,Mamastrovirus 5,False,KY765684.1,24
270,Jembrana disease virus,False,U21603.1,16
271,Ball python nidovirus 1,False,NC_024709.1,29
272,Merino Walk mammarenavirus,False,NC_023763.1  NC_023764.1,15
274,Rochambeau curiovirus,False,NC_034534.1,0
276,Simian immunodeficiency virus,True,NC_001549.1,16
278,Avian paraavulavirus 4,False,NC_019531.1,10
279,Golden reptarenavirus,False,NC_018482.1  NC_018483.1,15
281,Seoul orthohantavirus,True,NC_005238.1  NC_005237.1  NC_005236.1,19
282,Crimean-Congo hemorrhagic fever orthonairovirus,True,NC_005301.3  NC_005300.2  NC_005302.1,25
283,California reptarenavirus,False,NC_023762.1  NC_023761.1,15
284,Dhori thogotovirus,False,NC_034261.1  NC_034263.1  NC_034254.1  NC_034255.1  NC_034262.1  NC_034256.1,28
285,Snakehead novirhabdovirus,False,NC_000903.1,0
286,Jurona vesiculovirus,True,NC_025392.1,0
287,Primate T-lymphotropic virus 3,True,EU649782.1,16
288,Zetapapillomavirus 1,False,NC_003748.1,1
291,Iriri curiovirus,False,NC_034544.1,0
292,Loei River mammarenavirus,False,KC669693.1  KC669698.1,15
294,Hedgehog coronavirus 1,False,NC_022643.1,13
295,Teviot pararubulavirus,False,NC_039198.1,10
296,Kadipiro virus,False,NC_004210.1  NC_004212.1  NC_004213.1  NC_004214.1  NC_004215.1  NC_004216.1  NC_004209.1  NC_004208.1  NC_004207.1  NC_004206.1  NC_004205.1  NC_004199.1,18
300,Squirrel monkey retrovirus,False,NC_001514.1,16
302,Khabarovsk orthohantavirus,False,NC_034519.1  NC_034518.1  NC_034527.1,19
303,Tylonycteris bat coronavirus HKU4,False,NC_009019.1,13
307,Bovine respirovirus 3,False,NC_002161.1,10
309,Flexal mammarenavirus,True,NC_010759.1  NC_010757.1,15
311,Alcelaphine gammaherpesvirus 2,False,NC_024382.1,7
312,Mouse mammary tumor virus,False,NC_001503.1,16
314,Canine morbillivirus,True,NC_001921.1,10
315,Bluetongue virus,False,NC_006023.1  NC_006013.2  NC_006014.1  NC_006024.2  NC_006025.1  NC_006010.1  NC_006022.1  NC_006007.1  NC_006008.1  NC_006015.1,18
317,Marburg marburgvirus,True,NC_001608.3,27
318,Cano Delgadito orthohantavirus,False,NC_034515.1  NC_034525.1  NC_034528.1,19
321,Equine encephalosis virus,False,FJ183384.1  FJ183385.1  FJ183386.1  FJ183387.1  FJ183388.1  FJ183389.1  FJ183390.1  FJ183391.1  FJ183392.1  FJ183393.1,18
322,Human alphaherpesvirus 2,True,NC_001798.2,7
324,Callitrichine gammaherpesvirus 3,False,NC_004367.1,7
327,Serra do Navio mammarenavirus,False,NC_010251.1  NC_010247.1,15
328,Bowe orthohantavirus,False,NC_034407.1  NC_034406.1  NC_034405.1,19
330,Puma lentivirus,False,U03982.1,16
331,Kern Canyon ledantevirus,False,NC_034451.1,0
332,Luna mammarenavirus,False,NC_016153.1  NC_016152.1,15
333,Common moorhen coronavirus HKU21,False,NC_016996.1,13
334,Lambdapapillomavirus 2,False,NC_001619.1,1
335,Avian metaavulavirus 7,False,NC_025347.1,10
336,Night heron coronavirus HKU19,False,NC_016994.1,13
337,Ovine gammaherpesvirus 2,False,NC_007646.1,7
339,Chapare mammarenavirus,True,NC_010563.1  NC_010562.1,15
340,Nishimuro ledantevirus,False,NC_038276.1,0
341,Tupaia tupavirus,False,NC_007020.1,0
342,Lymphocytic choriomeningitis mammarenavirus,True,NC_004291.1  NC_004294.1,15
343,Primate T-lymphotropic virus 2,True,Y13051.1,16
344,Hepatitis B virus,True,AJ344115.1,23
346,Tamiami mammarenavirus,False,NC_010702.1  NC_010701.1,15
348,Mason-Pfizer monkey virus,False,NC_001550.1,16
350,Saimiriine gammaherpesvirus 2,False,NC_001350.1,7
351,Psittaciform 1 orthobornavirus,False,NC_030688.1,31
352,Pirital mammarenavirus,False,NC_005897.1  NC_005894.1,15
353,Rabbit hemorrhagic disease virus,False,NC_001543.1,26
354,Rice yellow stunt nucleorhabdovirus,False,NC_003746.1,0
355,Woolly monkey sarcoma virus,False,NC_009424.5,16
356,Omikronpapillomavirus 1,False,JN709471.1,1
357,Murid betaherpesvirus 2,False,NC_002512.2,7
358,Perch perhabdovirus,False,NC_020803.1,0
359,Hazara orthonairovirus,False,NC_038709.1  NC_038710.1  NC_038711.1,25
360,Mink coronavirus 1,False,NC_023760.1,13
364,Jeju orthohantavirus,False,NC_034399.1  NC_034404.1  NC_034398.1,19
365,Gibbon ape leukemia virus,False,KT724048.1,16
367,Lunk mammarenavirus,False,NC_018711.1  NC_018710.1,15
369,Rotavirus H,True,NC_007548.1  NC_007549.1  NC_007550.1  NC_007551.1  NC_007552.1  NC_007553.1  NC_007554.1  NC_007555.1  NC_007556.1  NC_007557.1  NC_007558.1,18
371,Umatilla virus,False,NC_024503.1  NC_024504.1  NC_024505.1  NC_024506.1  NC_024507.1  NC_024508.1  NC_024509.1  NC_024510.1  NC_024499.1  NC_024500.1,18
372,Equid alphaherpesvirus 3,False,NC_024771.1,7
373,Rotavirus I,False,NC_026825.2  NC_026826.2  NC_026828.2  NC_026827.2  NC_026820.2  NC_026829.2  NC_026821.2  NC_026822.2  NC_026830.2  NC_026823.2  NC_026824.2,18
374,Allpahuayo mammarenavirus,False,NC_010249.1  NC_010253.1,15
375,Fugong orthohantavirus,False,NC_034467.1  NC_034466.1  NC_034473.1,19
376,New Jersey vesiculovirus,True,NC_024473.1,0
377,Itacaiunas curiovirus,False,NC_034536.1,0
378,Avastrovirus 1,False,NC_002470.1,24
379,Equid gammaherpesvirus 2,False,NC_001650.2,7
380,Corriparta virus,False,KC853042.1  KC853043.1  KC853044.1  KC853045.1  KC853046.1  KC853047.1  KC853048.1  KC853049.1  KC853050.1  KC853051.1,18
381,Feline immunodeficiency virus,False,NC_001482.1,16
383,Laibin mobatvirus,False,NC_038515.1  NC_038513.1  NC_038514.1,19
384,American bat vesiculovirus,False,NC_022755.1,0
385,Dugbe orthonairovirus,True,NC_004159.1  NC_004158.1  NC_004157.1,25
386,Equid alphaherpesvirus 4,False,NC_001844.1,7
388,Curionopolis curiovirus,False,NC_025354.1,0
393,Malpais Spring vesiculovirus,False,NC_025364.1,0
394,Lassa mammarenavirus,True,NC_004297.1  NC_004296.1,15
395,Ground squirrel hepatitis virus,False,NC_001484.1,23
397,Human alphaherpesvirus 3,True,NC_001348.1,7
399,Avian paraavulavirus 3,False,NC_025373.1,10
401,Achimota pararubulavirus 1,False,NC_025403.1,10
403,Human coronavirus 229E,True,NC_002645.1,13
404,Tuhoko pararubulavirus 1,False,NC_025410.1,10
407,Peruvian horse sickness virus,False,NC_007748.1  NC_007749.1  NC_007750.1  NC_007751.1  NC_007755.1  NC_007752.1  NC_007756.1  NC_007754.1  NC_007753.1  NC_007757.1,18
410,Mammalian orthorubulavirus 5,True,NC_006430.1,10
411,Bear Canyon mammarenavirus,False,NC_010255.1  NC_010256.1,15
412,Rockport orthohantavirus,False,NC_038695.1  NC_038694.1  NC_038696.1,19
413,Kasokero orthonairovirus,True,NC_036636.1  NC_029933.1  NC_029932.1,25
414,Achimota pararubulavirus 2,False,NC_025404.1,10
416,Rotavirus C,True,NC_007547.1  NC_007546.1  NC_007572.1  NC_007574.1  NC_007570.1  NC_007543.1  NC_007544.1  NC_007571.1  NC_007545.1  NC_007569.1  NC_007573.1,18
417,Epsilonpapillomavirus 1,False,NC_004195.1,1
418,Iotapapillomavirus 1,False,NC_001605.1,1
420,Porcine respirovirus 1,False,NC_025402.1,10
421,Changuinola virus,True,NC_022639.1  NC_022633.1  NC_022634.1  NC_022640.1  NC_022635.1  NC_022641.1  NC_022636.1  NC_022637.1  NC_022642.1  NC_022638.1,18
423,Bovine nidovirus 1,False,NC_027199.1,29
424,Lujo mammarenavirus,True,NC_012777.1  NC_012776.1,15
425,Drosophila affinis sigmavirus,False,NC_038278.1,0
427,Equine infectious anemia virus,False,NC_001450.1,16
428,Kappapapillomavirus 2,False,NC_001541.1,1
433,Gairo mammarenavirus,False,NC_026247.1  NC_026246.1,15
437,Cervid alphaherpesvirus 2,False,MH036943.1,7
440,Lebombo virus,True,JQ610665.1  JQ610666.1  JQ610667.1  JQ610668.1  JQ610669.1  JQ610670.1  JQ610671.1  JQ610672.1  JQ610673.1  JQ610674.1,18
441,Oliveros mammarenavirus,False,NC_010250.1  NC_010248.1,15
442,Ferak feravirus,False,KP710246.1  KP710264.1  KP710267.1,33
443,Chinook salmon nidovirus 1,False,NC_026812.1,29
444,Avian orthoavulavirus 1,True,NC_039223.1,10
445,Whitewater Arroyo mammarenavirus,True,NC_010703.1  NC_010700.1,15
446,Mammalian 2 orthobornavirus,True,NC_030701.1,31
447,Wenzhou mammarenavirus,False,NC_026019.1  NC_026018.1,15
449,Nova mobatvirus,False,NC_034465.1  NC_034470.1  NC_034464.1,19
452,Barur ledantevirus,False,NC_034535.1,0
453,Severe acute respiratory syndrome-related coronavirus,True,NC_004718.3,13
454,Jaagsiekte sheep retrovirus,False,NC_001494.1,16
455,Bovine immunodeficiency virus,False,NC_001413.1,16
457,Micromonas pusilla reovirus,False,NC_008171.1  NC_008172.1  NC_008173.1  NC_008174.1  NC_008175.1  NC_008176.1  NC_008177.1  NC_008178.1  NC_008179.1  NC_008180.1  NC_008181.1,18
460,Waterbird 1 orthobornavirus,False,NC_029642.1,31
463,Dera Ghazi Khan orthonairovirus,False,KU925437.1  KU925438.1  KU925439.1,25
464,Visna-maedi virus,False,NC_001452.1,16
465,Equid gammaherpesvirus 5,False,NC_026421.1,7
467,Thiafora orthonairovirus,True,NC_029909.1  NC_029934.1  NC_029910.1,25
468,Feline foamy virus,False,NC_001871.1,16
470,Marco hapavirus,False,NC_034530.1,0
471,Mamastrovirus 13,False,NC_002469.1,24
472,Imjin thottimvirus,False,NC_034564.1  NC_034557.1  NC_034558.1,19
473,Keuraliba ledantevirus,False,NC_034540.1,0
474,Tuhoko pararubulavirus 3,False,NC_025350.1,10
477,Sapporo virus,True,NC_006554.1,26
482,Nupapillomavirus 1,True,NC_001354.1,1
483,Murid betaherpesvirus 1,False,NC_004065.1,7
484,Tula orthohantavirus,True,NC_005226.1  NC_005228.1  NC_005227.2,19
485,Mamastrovirus 9,True,NC_013060.1,24
488,Salmonid novirhabdovirus,False,NC_001652.1,0
491,Nairobi sheep disease orthonairovirus,False,NC_034387.1  NC_034391.1  NC_034386.1,25
492,Avian metaavulavirus 8,False,NC_039195.1,10
493,Bat coronavirus HKU10,False,NC_018871.1,13
494,Rousettus bat coronavirus HKU9,False,NC_009021.1,13
495,Radi vesiculovirus,False,NC_038287.1,0
498,Kamese hapavirus,False,NC_034450.1,0
500,Human coronavirus NL63,True,NC_005831.2,13
501,Montano orthohantavirus,False,NC_034403.1  NC_034397.1  NC_034396.1,19
502,Rice dwarf virus,False,NC_003760.1  NC_003761.1  NC_003762.1  NC_003763.1  NC_003764.1  NC_003765.1  NC_003766.1  NC_003767.1  NC_003768.1  NC_003772.1  NC_003773.1  NC_003774.1,18
503,Drosophila obscura sigmavirus,False,NC_022580.1,0
505,Beluga whale coronavirus SW1,False,NC_010646.1,13
506,Canid alphaherpesvirus 1,False,NC_030117.1,7
507,Human orthorubulavirus 2,True,NC_003443.1,10
508,Mammalian 1 orthobornavirus,True,NC_001607.1,31
509,Feline leukemia virus,False,NC_001940.1,16
510,Human orthorubulavirus 4,True,NC_021928.1,10
512,Orungo virus,True,JQ610675.1  JQ610676.1  JQ610677.1  JQ610678.1  JQ610679.1  JQ610680.1  JQ610681.1  JQ610682.1  JQ610683.1  JQ610684.1,18
514,Moussa virus,False,NC_025359.1,0
516,Woodchuck hepatitis virus,False,NC_004107.1,23
520,Human respirovirus 3,True,NC_001796.2,10
521,Elapid 1 orthobornavirus,False,NC_024778.1,31
523,Pipistrellus bat coronavirus HKU5,False,NC_009020.1,13
524,Dobrava-Belgrade orthohantavirus,True,NC_005235.1  NC_005234.1  NC_005233.1,19
525,Cao Bang orthohantavirus,False,NC_034485.1  NC_034474.1  NC_034484.1,19
527,White-eye coronavirus HKU16,False,NC_016991.1,13
531,Chobar Gorge virus,False,NC_027553.1  NC_027554.1  NC_027555.1  NC_027556.1  NC_027557.1  NC_027558.1  NC_027559.1  NC_027560.1  NC_027561.1  NC_027562.1,18
532,Hantaan orthohantavirus,True,NC_005218.1,19
533,Maraba vesiculovirus,False,NC_025255.1,0
534,Wad Medani virus,False,NC_027533.1  NC_027539.1  NC_027540.1  NC_027541.1  NC_027542.1  NC_027543.1  NC_027544.1  NC_027545.1  NC_027546.1  NC_027547.1,18
539,Choclo orthohantavirus,True,NC_038374.1  NC_038373.1,19
540,Rotavirus D,False,NC_014511.1  NC_014512.1  NC_014513.1  NC_014514.1  NC_014515.1  NC_014516.1  NC_014517.1  NC_014518.1  NC_014519.1  NC_014520.1  NC_014521.1,18
542,African swine fever virus,False,NC_001659.2,36
543,Wound tumor virus,False,NC_038948.1  NC_038944.1  NC_038949.1  NC_038945.1  NC_038951.1  NC_038946.1  NC_038950.1  NC_038947.1  NC_038952.1,18
545,Maize fine streak nucleorhabdovirus,False,NC_005974.1,0
546,Avian metaavulavirus 11,False,NC_025407.1,10
547,Chandipura vesiculovirus,True,NC_020805.1,0
548,Coffee ringspot dichorhavirus,False,NC_038756.1  NC_038755.1,0
549,Equid alphaherpesvirus 1,False,NC_001491.2,7
550,Okahandja mammarenavirus,False,NC_027137.1  NC_027135.1,15
551,Rhinolophus bat coronavirus HKU2,False,NC_009988.1,13
553,Lettuce big-vein associated varicosavirus,False,NC_011558.1  NC_011568.1,0
556,Estero Real orthonairovirus,False,MH017280.1  MH017286.1  MH017274.1,25
557,Mumps orthorubulavirus,True,NC_002200.1,10
559,Keterah orthonairovirus,False,NC_034392.1  NC_034388.1  NC_034389.1,25
560,Moloney murine sarcoma virus,False,NC_001502.1,16
562,Drosophila ananassae sigmavirus,False,NC_038279.1,0
563,Paraguayan mammarenavirus,False,NC_010761.1  NC_010756.1,15
564,Cocal vesiculovirus,True,NC_028255.1,0
567,Rubella virus,True,NC_001545.2,37
569,Quaranfil quaranjavirus,True,GQ499302.1  GQ499303.1  FJ861695.1  JN412853.1  FJ861694.1  GQ499304.1,28
570,Kenkeme orthohantavirus,False,NC_034560.1  NC_034565.1  NC_034559.1,19
571,Luxi orthohantavirus,False,NC_038529.1  NC_038528.1  NC_038530.1,19
572,Kimberley ephemerovirus,False,NC_025396.1,0
574,Oita ledantevirus,False,NC_034548.1,0
576,Cercopithecine alphaherpesvirus 2,False,NC_006560.1,7
577,Deltapapillomavirus 2,False,NC_001523.1,1
580,Middle East respiratory syndrome-related coronavirus,True,NC_019843.3,13
582,Newbury 1 virus,False,NC_007916.1,26
583,Murine coronavirus,False,NC_012936.1,13
584,Brazilian mammarenavirus,True,NC_006313.1  NC_006317.1,15
586,Mosqueiro hapavirus,False,NC_034448.1,0
589,Nipah henipavirus,True,NC_002728.1,10
590,Avian coronavirus,False,NC_001451.1,13
594,Piscine novirhabdovirus,False,NC_000855.1,0
595,Cetacean morbillivirus,False,NC_005283.1,10
596,Tuhoko pararubulavirus 2,False,NC_025348.1,10
597,Alcelaphine gammaherpesvirus 1,False,NC_002531.1,7
600,Mamastrovirus 2,False,NC_024701.1,24
601,Eggplant mottled dwarf nucleorhabdovirus,False,NC_025389.1,0
602,Suid alphaherpesvirus 1,False,NC_006151.1,7
603,Small ruminant morbillivirus,False,NC_006383.2,10
605,Equine torovirus,False,MG996765.1,29
606,Solwezi mammarenavirus,False,NC_038366.1  NC_038367.1,15
607,Bovine alphaherpesvirus 5,False,NC_005261.2,7
608,Mobala mammarenavirus,False,NC_007904.1  NC_007903.1,15
609,Hirame novirhabdovirus,False,NC_005093.1,0
610,Avian metaavulavirus 6,False,NC_039194.1,10
611,European brown hare syndrome virus,False,NC_002615.1,26
612,Macacine betaherpesvirus 3,False,NC_006150.1,7
613,Mamastrovirus 10,False,NC_004579.1,24
616,Indiana vesiculovirus,True,NC_038236.1,0
617,Caviid betaherpesvirus 2,False,NC_020231.1,7
619,Pike fry sprivivirus,False,NC_025371.1,0
620,Reptilian ferlavirus,False,NC_005084.2,10
622,Dabieshan orthohantavirus,False,NC_038383.1  NC_038384.1,19
623,Avian leukosis virus,False,KY235336.1,16
625,African horse sickness virus,False,NC_006021.1  NC_005996.1  NC_006017.1  NC_006012.1  NC_006020.1  NC_006018.1  NC_006011.1  NC_006019.1  NC_006016.1  NC_006009.1,18
626,Strawberry crinkle cytorhabdovirus,False,MH129615.1,0
627,Bovine fever ephemerovirus,False,NC_002526.1,0
628,Liao ning virus,False,NC_007736.1  NC_007737.1  NC_007738.1  NC_007739.1  NC_007740.1  NC_007741.1  NC_007742.1  NC_007743.1  NC_007744.1  NC_007745.1  NC_007746.1  NC_007747.1,18
629,Ngaingan hapavirus,False,NC_013955.1,0
630,Thottopalayam thottimvirus,True,NC_010707.1  NC_010708.1  NC_010704.1,19
631,Epizootic hemorrhagic disease virus,False,NC_013396.1  NC_013397.1  NC_013398.1  NC_013399.1  NC_013400.1  NC_013401.1  NC_013403.1  NC_013402.1  NC_013404.1  NC_013405.1,18
633,Porcine torovirus,False,NC_022787.1,29
634,Gray Lodge hapavirus,False,NC_034541.1,0
635,Orchid fleck dichorhavirus,False,NC_009608.1  NC_009609.1,0
636,Murine respirovirus,False,NC_001552.1,10
639,Equid alphaherpesvirus 9,False,NC_011644.1,7
640,Passeriform 1 orthobornavirus,False,NC_030690.1,31
641,Bruges orthohantavirus,False,NC_034402.1  NC_034395.1  NC_034394.1,19
642,Eubenangee virus,False,JQ070376.1  JQ070377.1  JQ070378.1  JQ070379.1  JQ070380.1  JQ070381.1  JQ070382.1  JQ070383.1  JQ070384.1  JQ070385.1,18
643,Barley yellow striate mosaic cytorhabdovirus,False,NC_028244.1,0
644,Nkolbisson ledantevirus,False,NC_034539.1,0
646,Northern cereal mosaic cytorhabdovirus,False,NC_002251.1,0
647,Fathead minnow nidovirus 1,False,NC_038295.1,29
648,Wigeon coronavirus HKU20,False,NC_016995.1,13
651,Avian orthoavulavirus 13,False,NC_030231.1,10
652,Papiine alphaherpesvirus 2,False,NC_007653.1,7
654,Avian orthoavulavirus 9,False,NC_025390.1,10
657,Perinet vesiculovirus,False,NC_025394.1,0
658,Sangassou orthohantavirus,False,NC_034517.1  NC_034516.1  NC_034526.1,19
659,Fikirini ledantevirus,False,NC_025341.1,0
660,Datura yellow vein nucleorhabdovirus,False,NC_028231.1,0
661,Mossuril hapavirus,False,NC_038275.1,0
662,Ateline alphaherpesvirus 1,False,NC_034446.1,7
663,Taro vein chlorosis nucleorhabdovirus,False,NC_006942.1,0
664,Felid alphaherpesvirus 1,False,NC_013590.2,7
665,Arboretum almendravirus,False,NC_025393.1,0
666,Cali mammarenavirus,False,NC_006439.1  NC_006447.1,15
667,Mapuera orthorubulavirus,False,NC_009489.1,10
668,Great Island virus,True,NC_014522.1  NC_014523.1  NC_014524.1  NC_014525.1  NC_014526.1  NC_014527.1  NC_014528.1  NC_014529.1  NC_014530.1  NC_014531.1,18
669,Chenuda virus,False,KP268794.1  KP268795.1  KP268796.1  KP268797.1  KP268798.1  KP268799.1  KP268800.1  KP268801.1  KP268802.1  KP268803.1,18
670,Influenza D virus,False,NC_036616.1  NC_036615.1  NC_036619.1  NC_036618.1  NC_036617.1  NC_036620.1  NC_036621.1,28
672,Scotophilus bat coronavirus 512,False,NC_009657.1,13
673,Bovine alphaherpesvirus 1,False,NC_001847.1,7
674,Mojiang henipavirus,False,NC_025352.1,10
675,Mount Elgon bat ledantevirus,False,NC_034545.1,0
677,Bovine foamy virus,False,NC_001831.1,16
679,Yata ephemerovirus,False,NC_028241.1,0
680,Carajas vesiculovirus,False,NC_038285.1,0
681,Colocasia bobone disease-associated cytorhabdovirus,False,NC_034551.1,0
