id,Search Terms
ENST00000480264,ENST00000480264[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000263921,ENST00000263921[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000357485,ENST00000357485[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000373736,ENST00000373736[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000245414,ENST00000245414[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000310833,ENST00000310833[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000263208,ENST00000263208[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000216802,ENST00000216802[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000577830,ENST00000577830[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000340020,ENST00000340020[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000263119,ENST00000263119[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000262394,ENST00000262394[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000369748,ENST00000369748[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000263354,ENST00000263354[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000374767,ENST00000374767[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000260585,ENST00000260585[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000555028,ENST00000555028[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000336812,ENST00000336812[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000243108,ENST00000243108[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000392701,ENST00000392701[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000370459,ENST00000370459[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000376112,ENST00000376112[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000322764,ENST00000322764[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000260526,ENST00000260526[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000316549,ENST00000316549[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000339876,ENST00000339876[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000361794,ENST00000361794[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000438763,ENST00000438763[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000506540,ENST00000506540[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000616016,ENST00000616016[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000274457,ENST00000274457[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000359775,ENST00000359775[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000265807,ENST00000265807[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000304101,ENST00000304101[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000389797,ENST00000389797[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000336395,ENST00000336395[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000505282,ENST00000505282[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000448521,ENST00000448521[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000546624,ENST00000546624[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000373313,ENST00000373313[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000258743,ENST00000258743[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000292494,ENST00000292494[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000379270,ENST00000379270[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000298048,ENST00000298048[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000635736,ENST00000635736[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000665964,ENST00000665964[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000260818,ENST00000260818[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000360612,ENST00000360612[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000254190,ENST00000254190[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000592299,ENST00000592299[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000279488,ENST00000279488[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000375820,ENST00000375820[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000272203,ENST00000272203[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000415816,ENST00000415816[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000331242,ENST00000331242[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000408936,ENST00000408936[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000397912,ENST00000397912[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000373178,ENST00000373178[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000649156,ENST00000649156[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000611366,ENST00000611366[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000302085,ENST00000302085[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000357742,ENST00000357742[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000309276,ENST00000309276[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000276390,ENST00000276390[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000253083,ENST00000253083[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000369167,ENST00000369167[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000259939,ENST00000259939[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000371804,ENST00000371804[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000233954,ENST00000233954[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000394987,ENST00000394987[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000679879,ENST00000679879[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000308873,ENST00000308873[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000625293,ENST00000625293[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000337573,ENST00000337573[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000273317,ENST00000273317[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000355716,ENST00000355716[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000555485,ENST00000555485[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000343619,ENST00000343619[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000340369,ENST00000340369[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000368021,ENST00000368021[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000367466,ENST00000367466[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000606911,ENST00000606911[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000251642,ENST00000251642[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000394313,ENST00000394313[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000262499,ENST00000262499[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000377708,ENST00000377708[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000265641,ENST00000265641[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000400275,ENST00000400275[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000371247,ENST00000371247[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000456674,ENST00000456674[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000417245,ENST00000417245[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000623535,ENST00000623535[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000369583,ENST00000369583[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000334696,ENST00000334696[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000402142,ENST00000402142[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000377044,ENST00000377044[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000261326,ENST00000261326[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000370751,ENST00000370751[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000366960,ENST00000366960[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000374379,ENST00000374379[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000672073,ENST00000672073[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000361361,ENST00000361361[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000395097,ENST00000395097[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000256722,ENST00000256722[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000332180,ENST00000332180[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000624995,ENST00000624995[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000262577,ENST00000262577[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000366903,ENST00000366903[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000238682,ENST00000238682[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000296088,ENST00000296088[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000417257,ENST00000417257[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000373970,ENST00000373970[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000340258,ENST00000340258[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000223023,ENST00000223023[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000233143,ENST00000233143[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000446378,ENST00000446378[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000259400,ENST00000259400[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000402312,ENST00000402312[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000415738,ENST00000415738[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000652046,ENST00000652046[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000216117,ENST00000216117[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000374897,ENST00000374897[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000394836,ENST00000394836[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000327299,ENST00000327299[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000333486,ENST00000333486[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000396864,ENST00000396864[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000409190,ENST00000409190[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000649764,ENST00000649764[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000381884,ENST00000381884[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000374825,ENST00000374825[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000369124,ENST00000369124[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000475381,ENST00000475381[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000543185,ENST00000543185[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000582970,ENST00000582970[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000614355,ENST00000614355[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000435030,ENST00000435030[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000298125,ENST00000298125[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000283131,ENST00000283131[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000311412,ENST00000311412[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000302445,ENST00000302445[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000647318,ENST00000647318[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000448116,ENST00000448116[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000267984,ENST00000267984[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000627532,ENST00000627532[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000464506,ENST00000464506[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000040584,ENST00000040584[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000255695,ENST00000255695[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000259808,ENST00000259808[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000382592,ENST00000382592[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000312562,ENST00000312562[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000243440,ENST00000243440[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000381577,ENST00000381577[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000279024,ENST00000279024[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000674313,ENST00000674313[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000617612,ENST00000617612[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000419617,ENST00000419617[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000227638,ENST00000227638[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000641863,ENST00000641863[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000361383,ENST00000361383[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000368006,ENST00000368006[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000233057,ENST00000233057[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000411539,ENST00000411539[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000577708,ENST00000577708[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000391860,ENST00000391860[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000566722,ENST00000566722[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000370645,ENST00000370645[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000369155,ENST00000369155[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000360632,ENST00000360632[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000256015,ENST00000256015[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000379977,ENST00000379977[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000600996,ENST00000600996[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000192788,ENST00000192788[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000367157,ENST00000367157[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000237612,ENST00000237612[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000446597,ENST00000446597[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000517956,ENST00000517956[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000512123,ENST00000512123[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000252593,ENST00000252593[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000265882,ENST00000265882[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000394620,ENST00000394620[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000306846,ENST00000306846[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000376552,ENST00000376552[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000674199,ENST00000674199[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000344420,ENST00000344420[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000420110,ENST00000420110[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000434752,ENST00000434752[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000264380,ENST00000264380[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000319332,ENST00000319332[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000379600,ENST00000379600[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000264350,ENST00000264350[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000464300,ENST00000464300[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000264848,ENST00000264848[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000422884,ENST00000422884[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000334274,ENST00000334274[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000280987,ENST00000280987[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000415673,ENST00000415673[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000228251,ENST00000228251[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000642700,ENST00000642700[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000407997,ENST00000407997[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000527459,ENST00000527459[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000286713,ENST00000286713[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000458235,ENST00000458235[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000554311,ENST00000554311[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000522652,ENST00000522652[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000321153,ENST00000321153[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000307637,ENST00000307637[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000254958,ENST00000254958[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000454678,ENST00000454678[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000693561,ENST00000693561[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000393703,ENST00000393703[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000693081,ENST00000693081[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000610828,ENST00000610828[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000299502,ENST00000299502[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000256366,ENST00000256366[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000670934,ENST00000670934[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000225831,ENST00000225831[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000328963,ENST00000328963[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000257836,ENST00000257836[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000374672,ENST00000374672[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000498678,ENST00000498678[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000361752,ENST00000361752[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000368680,ENST00000368680[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000311601,ENST00000311601[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000265022,ENST00000265022[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000302274,ENST00000302274[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000511422,ENST00000511422[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000332503,ENST00000332503[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000684092,ENST00000684092[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000486685,ENST00000486685[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000609883,ENST00000609883[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000617275,ENST00000617275[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000299964,ENST00000299964[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000295926,ENST00000295926[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000316554,ENST00000316554[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000335793,ENST00000335793[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000333467,ENST00000333467[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000406870,ENST00000406870[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000375784,ENST00000375784[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000290573,ENST00000290573[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000264183,ENST00000264183[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000418030,ENST00000418030[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000404169,ENST00000404169[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000269499,ENST00000269499[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000656976,ENST00000656976[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000267838,ENST00000267838[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000605082,ENST00000605082[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000343242,ENST00000343242[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000262764,ENST00000262764[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000616978,ENST00000616978[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000684770,ENST00000684770[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000370473,ENST00000370473[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000426028,ENST00000426028[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000638572,ENST00000638572[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000222574,ENST00000222574[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000561804,ENST00000561804[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000594818,ENST00000594818[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000262158,ENST00000262158[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000527879,ENST00000527879[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
ENST00000375963,ENST00000375963[All Fields] AND (biomol_mrna[PROP] AND refseq[filter])
