Unnamed: 0,Species,Human Host,Accessions,viral_family
5,Rhinovirus B,True,FJ445188.1,2
11,Chikungunya virus,True,HM045787.1,21
15,Ndumu virus,False,NC_016959.1,21
25,Mayaro virus,True,NC_003417.1,21
30,Aura virus,False,NC_003900.1,21
37,Fort Morgan virus,False,NC_013528.1,21
45,Human mastadenovirus D,True,NC_010956.1,9
49,Getah virus,True,NC_006558.1,21
52,Mosso das Pedras virus,True,AF075257.1,21
56,Venezuelan equine encephalitis virus,True,KC344449.1,21
57,Ross River virus,True,GQ433354.1,21
63,Onyong-nyong virus,True,NC_001512.1,21
65,Bebaru virus,True,NC_016962.1,21
66,Equine mastadenovirus A,False,NC_030792.1,9
67,Bovine orthopneumovirus,False,NC_001989.1,34
68,Pixuna virus,True,AF075256.1,21
71,Enterovirus J,False,NC_013695.1,2
73,Middelburg virus,False,NC_024887.1,21
74,Human mastadenovirus E,True,NC_003266.2,9
77,Southern elephant seal virus,False,NC_016960.1,21
79,Cupixi mammarenavirus,False,NC_010252.1  NC_010254.1,15
80,Semliki Forest virus,True,NC_003215.1,21
82,Highlands J virus,False,NC_012561.1,21
83,Enterovirus C,True,KJ170575.1,2
84,Rio Negro virus,False,AF075258.1,21
87,Rhinovirus C,True,NC_009996.1,2
88,Everglades virus,True,AF075251.1,21
90,Primate T-lymphotropic virus 1,True,NC_001436.1,16
95,Madariaga virus,True,NC_023812.1,21
96,Murine orthopneumovirus,False,NC_006579.1,34
98,Human mastadenovirus C,True,AC_000017.1,9
99,Human immunodeficiency virus 1,True,NC_001802.1,16
100,Norwalk virus,True,NC_001959.2,26
110,Machupo mammarenavirus,True,NC_005079.1  NC_005078.1,15
111,Macacine gammaherpesvirus 4,False,NC_006146.1,7
113,Mopeia mammarenavirus,False,NC_006574.1  NC_006575.1,15
118,Cercopithecine alphaherpesvirus 9,False,NC_002686.2,7
119,Cabassou virus,False,AF075259.1,21
121,Cosavirus F,True,NC_034385.1,2
122,Tonate virus,True,AF075254.1,21
123,Influenza A virus,True,CY216614.1  CY216615.1  CY216616.1  CY216617.1  CY216618.1  CY216619.1  CY216620.1  CY216621.1,28
124,Caprine arthritis encephalitis virus,False,NC_001463.1,16
128,Human alphaherpesvirus 1,True,NC_001806.2,7
133,Salmon pancreas disease virus,False,NC_003930.1,21
134,Human polyomavirus 1,True,NC_001538.1,3
137,Cosavirus A,True,NC_012800.1,2
139,Influenza B virus,True,MH245265.1  MH245264.1  MH245263.1  MH245262.1  MH245261.1  MH245260.1  MH245259.1  MH245258.1,28
140,Ungulate bocaparvovirus 1,False,NC_001540.1,17
142,Human gammaherpesvirus 8,True,NC_009333.1,7
143,Human orthopneumovirus,True,NC_001781.1,34
147,Ippy mammarenavirus,False,NC_007906.1  NC_007905.1,15
148,Rotavirus F,False,NC_021625.1  NC_021626.1  NC_021631.1  NC_021630.1  NC_021632.1  NC_021635.1  NC_021633.1  NC_021628.1  NC_021627.1  NC_021629.1  NC_021634.1,18
149,Enterovirus H,False,NC_003988.1,2
151,Tremovirus A,False,NC_003990.1,2
154,Human immunodeficiency virus 2,True,NC_001722.1,16
158,Argentinian mammarenavirus,True,NC_005080.1  NC_005081.1,15
159,Enterovirus B,True,AB426609.1,2
160,Carnivore amdoparvovirus 1,False,MF285607.1,17
161,Enterovirus D,True,NC_001430.1,2
165,Sapelovirus A,False,NC_003987.1,2
166,Walleye dermal sarcoma virus,False,NC_001867.1,16
168,Rotavirus G,False,NC_021590.1  NC_021580.1  NC_021581.1  NC_021589.1  NC_021583.1  NC_021588.1  NC_021585.1  NC_021584.1  NC_021582.1  NC_021586.1  NC_021587.1,18
171,Taterapox virus,False,NC_008291.1,14
174,Human betaherpesvirus 5,True,NC_006273.2,7
175,Sindbis virus,True,KF981618.1,21
177,Human mastadenovirus A,True,AC_000005.1,9
178,Puumala orthohantavirus,True,NC_005225.1  NC_005223.1  NC_005224.1,19
179,Torchivirus A,False,NC_025890.1,2
180,Bos taurus polyomavirus 1,False,NC_001442.1,3
183,Thogoto thogotovirus,True,NC_006508.1  NC_006495.1  NC_006496.1  NC_006506.1  NC_006507.1  NC_006504.1,28
185,Human metapneumovirus,True,NC_004148.2,34
186,Eastern equine encephalitis virus,True,NC_003899.1,21
188,Rotterdam reptarenavirus,False,NC_018484.1  NC_018481.1,15
189,Bovine mastadenovirus C,False,AF027599.2,9
191,Tamdy orthonairovirus,False,NC_031284.1  NC_031285.1  NC_031286.1,25
192,Parechovirus A,True,NC_001897.1,2
193,Tacaribe mammarenavirus,True,NC_004292.1  NC_004293.1,15
194,White bream virus,False,NC_008516.1,29
198,Avian metapneumovirus,False,NC_007652.1,34
201,Andes orthohantavirus,True,NC_003468.2  NC_003467.2  NC_003466.1,19
204,Mesocricetus auratus polyomavirus 1,False,NC_001663.2,3
205,Cosavirus D,True,NC_012802.1,2
206,Western chimpanzee simian foamy virus,True,NC_001364.1,16
207,Fusong orthohantavirus,False,NC_038447.1  NC_038446.1,19
208,Betacoronavirus 1,True,NC_006213.1,13
210,Influenza C virus,True,KM504277.1  KM504278.1  KM504279.1  KM504280.1  KM504281.1  KM504282.1  KM504283.1,28
211,Panine betaherpesvirus 2,False,NC_003521.1,7
213,Pseudocowpox virus,True,NC_013804.1,14
215,Human gammaherpesvirus 4,True,NC_007605.1,7
217,Barmah Forest virus,True,NC_001786.1,21
218,Orf virus,True,NC_005336.1,14
219,Sakhalin orthonairovirus,False,KU925494.1  KU925495.1  KU925496.1,25
221,Squirrelpox virus,False,NC_022563.1,14
222,Macacine gammaherpesvirus 5,False,NC_003401.1,7
223,Quezon mobatvirus,False,NC_034401.1  NC_034393.1  NC_034400.1,19
224,Bovine leukemia virus,False,NC_001414.1,16
225,Parapoxvirus of red deer in New Zealand,False,NC_025963.1,14
226,Maporal orthohantavirus,False,NC_034553.1  NC_034552.1  NC_034566.1,19
228,Cercopithecine betaherpesvirus 5,False,NC_012783.2,7
231,Rhinovirus A,True,NC_001617.1,2
232,Bayou orthohantavirus,True,NC_038299.1  NC_038300.1  NC_038298.1,19
233,Western equine encephalitis virus,True,NC_003908.1,21
234,Human polyomavirus 2,True,NC_001699.1,3
236,Hepatovirus D,False,NC_028363.1,2
238,Adeno-associated dependoparvovirus B,True,NC_006152.1,17
239,Alphacoronavirus 1,False,NC_002306.3,13
240,Rhesus macaque simian foamy virus,True,NC_010819.1,16
242,Sin Nombre orthohantavirus,True,NC_005217.1  NC_005215.1  NC_005216.1,19
